Feature	Gain	Cover	Frequency
ctrx_quarter_normalizado	0.210764035907691	0.0259335530024877	0.0145458583166778
mcuentas_saldo	0.068953870269589	0.0348394421043064	0.0344585091420534
ctrx_quarter	0.062915968230274	0.0186507086933385	0.0224294914501444
mpayroll_sobre_edad	0.0561879763894274	0.0579909324483255	0.023428825227626
mprestamos_personales	0.0429681810797154	0.0196952187075259	0.00969723887778518
mrentabilidad_annual	0.0339603820729491	0.0227960486922662	0.0349766822118588
mpasivos_margen	0.0324957704403864	0.0132953136080492	0.0220593678288548
cpayroll_trx	0.0305578494054689	0.017957160161796	0.00629210156192168
mrentabilidad	0.0180175860719537	0.00898544269287454	0.0156192168184174
mv_status01	0.0164259882325314	0.0109416765326469	0.00303501369457399
mcomisiones_mantenimiento	0.0150389335288982	0.0223379702252197	0.0135465245391961
mactivos_margen	0.0133904752647681	0.0116589953731854	0.0165445258716411
mtarjeta_visa_consumo	0.0129147133016932	0.015676977623706	0.013620549263454
mcuenta_corriente	0.0128900352958585	0.00926750510427502	0.014397808868162
cliente_edad	0.0124483147875757	0.0168598928621207	0.0282034199422607
mcaja_ahorro	0.012389370630543	0.0125615188514951	0.0214301576726627
mv_mpagominimo	0.0106255695210918	0.00857402010454239	0.0126212154859723
mpayroll	0.0101562605820465	0.0169773443542544	0.012140054778296
Master_fechaalta	0.0101444257818433	0.0121873188446327	0.0192464283070546
cdescubierto_preacordado	0.00960932452948967	0.00861839354416291	0.00284995188392923
Master_Fvencimiento	0.00825772675797687	0.0114464861753676	0.0215411947590495
mvr_msaldopesos2	0.00819782875177225	0.0147804284885501	0.0210970464135021
ccajas_consultas	0.0081768755539516	0.00815656434730649	0.00303501369457399
Visa_fechaalta	0.00804278288517672	0.0109070822856801	0.0104744984824932
numero_de_cliente	0.00781980714324249	0.00731891625895206	0.0171737360278333
chomebanking_transacciones	0.00744754052268836	0.00754746606223664	0.0128062772966171
ccomisiones_otras	0.00713742636873397	0.02025816936836	0.0248352949885262
cproductos	0.00649050053787841	0.00934447036233777	0.00843881856540084
ccaja_seguridad	0.0061833495556984	0.0116979568438204	0.00277592715967133
ctarjeta_master	0.00614741729289964	0.000122677571749661	0.000259086534902657
mvr_mpagominimo	0.00608128073743936	0.00733269324956496	0.0139906728847435
mv_fechaalta	0.00570297996675933	0.00422484417635359	0.00895699163520616
mtransferencias_recibidas	0.00567881505685112	0.00621884179449428	0.0175068472869939
Visa_Fvencimiento	0.00549824450643479	0.00384837820160732	0.00973425123991413
ctarjeta_visa_transacciones	0.00544155108649573	0.00714862041922062	0.0110666962765564
cliente_antiguedad	0.00528905206364586	0.00459105329335749	0.0108076097416537
mv_Fvencimiento	0.00523616982594907	0.00383973552244059	0.00958620179139833
mcuenta_debitos_automaticos	0.00511725229660592	0.00950941070580363	0.00669923754534014
Visa_mpagominimo	0.00511337040879288	0.00660686349953943	0.012880302020875
Visa_mpagospesos	0.00501539194164808	0.00481434407460622	0.0106965726552669
Visa_cconsumos	0.00473727757452152	0.00362953935310659	0.00910504108372196
