fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	bagging_fraction	lambda_l1	lambda_l2	min_gain_to_split	ganancia	iteracion
20221002 155643	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	87	TRUE	309367	0.175351746357563	0.31357694339628	6017	138	13333	0.445409137905679	2.48487274941807	2.39497725015584	0.0443186795875792	23740000	1
20221002 155708	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	38	TRUE	309367	0.1486259611014	0.65285626075541	2342	860	9626	0.630719771934673	1.64619037237976	1.01854920274733	0.0192563786054961	26110000	2
20221002 155742	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	101	TRUE	309367	0.114073177651282	0.720756074279133	5819	90	7601	0.737035526604288	2.94028434779547	1.31129700339322	0.0861955854957665	26880000	3
20221002 155759	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	35	TRUE	309367	0.214219137174239	0.705022849137378	4381	657	9931	0.538146014759938	1.43822379613994	0.968025375021777	0.0630920833002569	25900000	4
20221002 155825	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	26	TRUE	309367	0.1218052129928	0.492420535219005	1459	683	8255	0.407298407031016	3.34308795721477	1.86939799634274	0.0757383516575727	26130000	5
20221002 155845	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	37	TRUE	309367	0.266652792766464	0.443416182153548	7865	517	9137	0.983559910601212	2.51373846640086	2.00801728559115	0.0250488064749839	25410000	6
20221002 155929	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	139	TRUE	309367	0.0590505946728	0.901302614709776	3338	617	12769	0.699304291326553	0.482106109848246	1.19942762415546	0.0395924716903311	24230000	7
20221002 155947	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	37	TRUE	309367	0.185521823863641	0.797160192760122	3882	336	11854	0.360577320276449	0.867686842555284	0.247766199056059	0.0890710910206609	24300000	8
20221002 160027	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	80	TRUE	309367	0.0725981103880784	0.575595785661911	2777	301	7401	0.717570486085283	3.9158629866304	1.15468112229913	0.0851298141952915	26160000	9
20221002 160053	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	46	TRUE	309367	0.064597946533791	0.815372268317474	4576	547	12181	0.770057634347015	4.57141525167066	1.69838769933752	0.0571607100602705	24840000	10
20221002 160111	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	20	TRUE	309367	0.199869380063448	0.6292819737405	1674	183	11604	0.840014663793974	0.632180384159761	0.352981417498086	0.0476996447664634	24560000	11
20221002 160135	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	38	TRUE	309367	0.131234731260791	0.335759025382706	7280	788	13674	0.606354020598034	1.25310817801316	0.749359997241603	0.0930306980289364	23300000	12
20221002 160153	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	41	TRUE	309367	0.157517170174138	0.960067509870148	6382	709	5907	0.505716974453794	0.747635639175617	2.59542442012268	0.0506284049278798	25310000	13
20221002 160216	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	39	TRUE	309367	0.258187282817865	0.465264572673995	1927	268	10713	0.469947282607771	2.13592749641975	1.9223497370646	0.0236616691535649	25700000	14
