fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20220927 144635	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	51	TRUE	309367	0.184683537537581	0.92192628281191	6531	370	6068	24190000	1
20220927 144830	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	240	TRUE	309367	0.0402078149985755	0.509600594341755	982	667	9543	26760000	2
20220927 144847	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	39	TRUE	309367	0.275358040429535	0.440957123218104	5228	1015	12515	23850000	3
20220927 144902	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	18	TRUE	309367	0.177695338854159	0.854004289414734	2579	141	8136	26050000	4
20220927 144932	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	41	TRUE	309367	0.0852484129206277	0.59947309515439	3541	518	7866	25950000	5
20220927 144948	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	16	TRUE	309367	0.293587573396566	0.52879766466096	3668	461	11892	24380000	6
20220927 145022	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	113	TRUE	309367	0.118952183026937	0.371907975431532	5889	553	10808	25830000	7
20220927 145109	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	60	TRUE	309367	0.107084820829332	0.702979442896321	343	357	14018	24290000	8
20220927 145133	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	44	TRUE	309367	0.148862115047232	0.910320083014667	6146	586	8643	26160000	9
20220927 145207	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	152	TRUE	309367	0.0786483363980078	0.232260218923911	4346	42	11137	25810000	10
20220927 145223	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	20	TRUE	309367	0.206865169060417	0.729035700103268	1620	766	9201	24720000	11
20220927 145242	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	43	TRUE	309367	0.127420177132939	0.605897953677923	7790	287	12040	25040000	12
20220927 145312	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	130	TRUE	309367	0.221246996129456	0.410185136301443	4911	230	6811	25340000	13
20220927 145406	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	146	TRUE	309367	0.0580589141044184	0.318364784298465	655	957	5628	25550000	14
20220927 145512	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	268	TRUE	309367	0.0192907929886715	0.773989324895665	4615	845	10373	25340000	15
20220927 145525	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	26	TRUE	309367	0.262131350325013	0.991374373175204	2846	718	13684	23760000	16
20220927 145544	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	37	TRUE	309367	0.229315639825538	0.333527695052326	2323	90	13087	23350000	17
20220927 145555	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	21	TRUE	309367	0.244148258432804	0.665141507070512	7557	780	5028	23470000	18
20220927 145622	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	125	TRUE	309367	0.15448789232166	0.266684903642163	7097	880	14947	22830000	19
20220927 145741	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	194	TRUE	309367	0.0309775553983636	0.821426910599694	1441	197	7420	26920000	20
20220927 145816	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	22	TRUE	309367	0.0364639347845578	0.511385249761415	3	32	8624	25560000	21
20220927 150023	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	293	TRUE	309367	0.0392226706745415	0.965909128055856	1901	417	9365	27350000	22
20220927 150118	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	138	TRUE	309367	0.0406628820205109	0.965320738225917	960	265	8332	27100000	23
20220927 150212	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	157	TRUE	309367	0.0536038545941812	0.999996673572629	1022	671	9394	26660000	24
20220927 150253	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	106	TRUE	309367	0.0313734688305751	0.985413073971706	4102	293	9117	25530000	25
20220927 150346	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	192	TRUE	309367	0.0416727268271981	0.798784488771906	1543	408	8637	26970000	26
20220927 150519	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	326	TRUE	309367	0.0264944035663622	0.999730609813421	1311	627	10794	26260000	27
20220927 150557	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	121	TRUE	309367	0.0523196754031664	0.998805261594465	2047	226	9326	26390000	28
20220927 150843	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	412	TRUE	309367	0.0340187101577928	0.972410807244983	379	436	9609	27030000	29
20220927 150935	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	104	TRUE	309367	0.0375849502732621	0.947761236844857	1430	878	6757	26570000	30
20220927 151101	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	323	TRUE	309367	0.0409048917201664	0.99719777716344	1042	397	7484	26800000	31
20220927 151158	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	193	TRUE	309367	0.038217915119833	0.908607720568712	1644	404	13019	25250000	32
