Feature	Gain	Cover	Frequency
ctrx_quarter	0.157440853090055	0.0438722729936661	0.0370632174206617
mpayroll	0.0483722569521876	0.0499222874124418	0.0143009368669818
mcuentas_saldo	0.0460230432826261	0.0322699049113399	0.0371687204591492
mcaja_ahorro	0.0448335913429113	0.0215979617039375	0.036659668298447
mpasivos_margen	0.040904169654756	0.0187651614679874	0.0293166568197164
mprestamos_personales	0.0331594059566807	0.0160628878182057	0.00690781144496962
mrentabilidad_annual	0.0327187160285026	0.0204507598566331	0.0325133988858879
cpayroll_trx	0.0312837962419252	0.0191779495407279	0.00444431549628629
mtarjeta_visa_consumo	0.0236137455826927	0.0205933857041552	0.0208605882849426
cliente_edad	0.0204334853123168	0.0174971334705542	0.0297307562457799
mcuenta_corriente	0.0195639713434799	0.00918638301939267	0.0141453198852127
mrentabilidad	0.0191018035890172	0.00886078366080842	0.0155168593855503
Master_Fvencimiento	0.0178815071149335	0.0106502779949199	0.019151439061445
mactivos_margen	0.0167578134828788	0.0125378376746196	0.0161208642808913
numero_de_cliente	0.0162073936460701	0.010555787670038	0.0212324864956111
Visa_fechaalta	0.0162040093359452	0.0108152248331376	0.017508229237002
mcomisiones_mantenimiento	0.0159632896239561	0.022362486518605	0.0105265656650912
Visa_mpagominimo	0.0159163391497368	0.0163274621296723	0.0278369767049291
Master_fechaalta	0.0153563537351356	0.0140856210082193	0.0219050683659689
Visa_Fvencimiento	0.0149094440888608	0.00618317112678215	0.0139211259284267
cliente_antiguedad	0.0127539188749387	0.0101678950760081	0.0174554777177583
chomebanking_transacciones	0.012469737955712	0.00725605757612858	0.0128924713031735
Master_mfinanciacion_limite	0.0124396439773073	0.00851764519193899	0.0179407916948008
Visa_mfinanciacion_limite	0.0117403673843483	0.00930889702086095	0.0152689272451047
Visa_msaldopesos	0.011532195163049	0.0149028919438523	0.0206390319041188
Visa_mconsumospesos	0.0113379383511791	0.0121644891637252	0.0198424839635382
ctarjeta_visa_transacciones	0.0112638822921638	0.016664058586628	0.0219472695813639
Visa_mpagospesos	0.00952575758141714	0.00908542646725363	0.0176137322754895
ccomisiones_otras	0.00889832136174379	0.0242623995353856	0.0185527093180284
cdescubierto_preacordado	0.00884188834457623	0.00856941662584761	0.002318429270763
mcomisiones	0.0087774029140269	0.00688643477913033	0.0122726409520594
Visa_cconsumos	0.00876935289866136	0.00589319187096574	0.0113363014854828
Visa_status	0.00874273285103836	0.0152730570611096	0.0029197965901418
mtransferencias_recibidas	0.00872052205139323	0.00870064717700505	0.0162448303511141
cproductos	0.00800370859553416	0.0103665967507067	0.0119772324442944
cprestamos_personales	0.00748010216058564	0.00952069848960448	0.00507733372721134
Visa_msaldototal	0.00742102049453784	0.0112286480951962	0.0186582123565159
mcaja_ahorro_dolares	0.00718001900091067	0.00493026983441058	0.0103313850438893
mautoservicio	0.00691020899138963	0.014248664468791	0.0207207967589467
mtransferencias_emitidas	0.00668345353891372	0.0172376958693929	0.0223719193112762
mcomisiones_otras	0.00667228239366754	0.00595832286944719	0.00983815833896016
mttarjeta_visa_debitos_automaticos	0.00637481312138337	0.00323563773947825	0.00716365631330182
mcuenta_debitos_automaticos	0.00604399838521097	0.0106617499520643	0.00936339466576637
ctransferencias_recibidas	0.00556753494488869	0.0103525954258919	0.0119745948683322
ctarjeta_debito_transacciones	0.00545325897315901	0.0160051907250527	0.0229047096556381
ccajas_consultas	0.00541408400823325	0.00510906905649957	0.00141374071573261
Master_status	0.00509704251002248	0.0069741728225313	0.00147704253882512
Master_mlimitecompra	0.00427944876509765	0.00412029831919519	0.00583959318028359
ccomisiones_mantenimiento	0.00422297330178072	0.00979666546906612	0.00325213116137745
ccallcenter_transacciones	0.00405459226849988	0.0246923740788244	0.00819758609047941
ccaja_seguridad	0.00380626983643636	0.00768078720804726	0.00131615040513167
cmobile_app_trx	0.00380092304645404	0.00172486666840685	0.00264285111411209
Visa_mconsumosdolares	0.00369524744084529	0.0156007853990631	0.00956385043889264
mpagomiscuentas	0.00362866251710393	0.00403645376728268	0.00681813386225523
Master_mconsumospesos	0.00362828929784015	0.00535997978864387	0.00609807562457799
ctarjeta_master	0.00360409985360197	0.000638479598652835	0.00058817943956786
Master_mpagospesos	0.00347519933062625	0.00759872688102589	0.00549934588116138
Visa_mlimitecompra	0.00347012206286534	0.00305957508819579	0.00445222822417286
thomebanking	0.00343288762015603	0.00154380485816104	0.00178827650236327
Master_mpagominimo	0.0033654263088231	0.00366108447823386	0.00541230587440918
internet	0.00317543145653756	0.00409708149253041	0.00127658676569885
mextraccion_autoservicio	0.0031041865406502	0.0105629981639511	0.0121724130654963
cextraccion_autoservicio	0.00307188631195412	0.0199089446825762	0.0150104448008103
ctarjeta_debito	0.00296582755741142	0.00169655168085745	0.00264812626603646
ctransferencias_emitidas	0.00294513304692151	0.00380911118720523	0.00683395931802836
ccajas_transacciones	0.0028833199549826	0.00070386905347747	0.000762259453072249
cpagomiscuentas	0.00281678568526038	0.00375517047226029	0.0048927034098582
Master_msaldototal	0.00274811223503732	0.00680098385533572	0.00576310347738015
ctarjeta_visa_debitos_automaticos	0.00274762778912521	0.00190394230736456	0.00287759537474679
Visa_mconsumototal	0.00257887196198368	0.00278316917101233	0.00453135550303849
Master_msaldopesos	0.00253731663274889	0.00490990873130715	0.0051933870695476
mtarjeta_master_consumo	0.00245998469526578	0.0036031144727049	0.00258482444294396
Visa_fultimo_cierre	0.00228150882892317	0.00161291827463547	0.00254262322754895
tmobile_app	0.00224698808680349	0.0056681158215995	0.00137945222822417
Master_fultimo_cierre	0.00200530822839252	0.00203156366901105	0.00323630570560432
tcallcenter	0.00191406814770689	0.00613956034239404	0.00388778696826469
matm_other	0.0019131029345023	0.00466235004651542	0.00475291188386226
ccuenta_debitos_automaticos	0.00187204767948357	0.0043401763296323	0.00380338453747468
ccaja_ahorro	0.00179796642155233	0.0127664217212675	0.00386932393652937
matm	0.0017173711531924	0.00387544247446688	0.00758830604321405
Master_cconsumos	0.00171123360576123	0.00210765891124413	0.00374799544226874
mplazo_fijo_dolares	0.00163537678594927	0.00786003325296683	0.00235008018230925
Visa_mpagado	0.00144124277304811	0.00638417656742791	0.00171969952734639
catm_trx	0.00134640692744644	0.00542630012436556	0.00626951806212019
ctarjeta_visa	0.00131403175582239	0.00348539549349501	0.00170387407157326
catm_trx_other	0.00125057794875632	0.00826312614640693	0.00504040766374072
Visa_msaldodolares	0.00122054569419943	0.00735530875446423	0.00363721725185685
ctarjeta_master_transacciones	0.00112782893920652	0.00275782029854712	0.0015667201215395
mttarjeta_master_debitos_automaticos	0.000928036554827534	0.00249611310024345	0.00112096978392978
Master_mconsumototal	0.000827732118783568	0.000973435514921812	0.00139000253207292
Visa_mpagosdolares	0.000819805132717122	0.00256648769606028	0.00255844868332208
ccheques_depositados	0.000751946044181867	0.00452502386821331	0.000654118838622552
tcuentas	0.000748996605183014	0.0012433042388692	0.000263757596218771
minversion2	0.000732458057452803	0.00706073861309438	0.000630380654962863
mtarjeta_visa_descuentos	0.000651424916855409	0.00226912447393769	0.000743796421336935
active_quarter	0.000629980130803606	0.00010690499058658	0.000342884875084402
Master_mpagado	0.000554924271657196	0.00134713754152632	0.000672581870357866
mcaja_ahorro_adicional	0.000444397058888191	0.00448259628820306	0.00104184250506415
ccajas_depositos	0.000396916461557088	0.00214002334021109	0.000416737002025658
mprestamos_prendarios	0.000387328915792294	0.00330889390449074	0.000395636394328157
cseguro_accidentes_personales	0.000362881125859118	0.000328696016024829	0.000480038825118163
Visa_Finiciomora	0.000361698923704984	0.00312861841481443	0.000419374577987846
Master_msaldodolares	0.000341696714823162	0.00255348383750552	0.000772809756920999
mcheques_depositados	0.000341192952423423	0.00487360831887667	0.000923151586765699
mforex_buy	0.000333514037060343	0.00871628290964427	0.0014585795070898
mcajeros_propios_descuentos	0.000318444585546397	0.0101626974751406	0.0034341239027684
cseguro_vivienda	0.00028481952639275	0.000205262523261065	0.000313871539500338
ccheques_emitidos	0.000273833991428841	0.00156748515399714	0.000179355165428764
ctarjeta_master_debitos_automaticos	0.000264167426658121	0.000601890941690466	0.000263757596218771
Master_mconsumosdolares	0.000251601511178851	0.000814191362594812	0.00144275405131668
cplazo_fijo	0.000249776022117746	0.000583047283964623	0.000348160027008778
ccajas_extracciones	0.000218748749014585	0.00288081660583547	0.000295408507765024
cseguro_vida	0.000194554259512304	0.00131799943623312	0.000453663065496286
ccajeros_propios_descuentos	0.000178934120486929	0.00379227998446341	0.00177508862255233
cseguro_auto	0.000178748360196148	0.000925401622572539	0.000363985482781904
