fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	bagging_fraction	ganancia	iteracion
20221002 231303	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.115076324249647	0.490069175822946	3652	808	5000	0.64756822221468	-1e+07	30
20221002 231308	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.0861907302291184	0.578361816138393	5505	826	5001	0.81220230062882	-1e+07	31
20221002 231314	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.108635668430254	0.621193908751753	2256	818	5000	0.471633453520196	-1e+07	32
20221002 231319	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.0943084252826298	0.604933701435896	4034	864	5000	0.641628947196211	-1e+07	33
20221002 231324	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.0823552904289258	0.560783304387852	1963	642	5000	0.768408951696996	-1e+07	34
20221002 231333	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.0185441704305043	0.509685764362583	4866	781	5000	0.498970441772086	-1e+07	35
20221002 231339	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.0630012280039576	0.524972961483826	3758	777	5001	0.528041931485478	-1e+07	36
20221002 231343	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.129618485448927	0.804885253086768	975	776	5000	0.806010348960568	-1e+07	37
20221002 231348	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.179839768754481	0.594585219975578	1475	738	5000	0.712574466783167	-1e+07	38
20221002 231352	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.152722642387885	0.724210254010428	5572	706	5000	0.525454432860985	-1e+07	39
20221002 231357	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.125646971441662	0.669243408252882	1394	792	5000	0.854962404779604	-1e+07	40
20221002 231402	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.145476480975531	0.752625577106787	1805	907	5000	0.573400565442113	-1e+07	41
20221002 231410	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.0242501154101151	0.242216741288875	5158	961	5000	0.531827708374019	-1e+07	42
20221002 231422	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.0120978692308595	0.359794637115271	2050	981	5000	0.523371043740221	-1e+07	43
20221002 231427	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.152958922784952	0.7579680672414	2354	694	5000	0.734758372699361	-1e+07	44
20221002 231431	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.161944179445275	0.344538601920893	5365	951	5000	0.472357326444459	-1e+07	45
20221002 231436	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.163163695788072	0.271167760590533	4806	744	5000	0.755549756301944	-1e+07	46
20221002 231441	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.0908790104557706	0.260599542757719	1058	668	5000	0.482253008646607	-1e+07	47
20221002 231447	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.0664885431190613	0.315438155701768	1655	791	5001	0.700641549823525	-1e+07	48
20221002 231453	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.103841942158765	0.340272257462002	4758	716	5000	0.539768999392738	-1e+07	49
20221002 231505	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.0126017974486241	0.643210891687434	1175	758	5000	0.747701977426644	-1e+07	50
20221002 231509	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.152127832782274	0.245034064367923	1025	1008	5000	0.35573821564843	-1e+07	51
20221002 231514	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.149686718457914	0.3838144447618	1067	674	5000	0.305482746558301	-1e+07	52
20221002 231519	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.160191767863695	0.336698281617129	1045	622	5002	0.421810428922119	-1e+07	53
20221002 231523	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.145827041543652	0.591519326532761	4901	724	5000	0.7464187989078	-1e+07	54
20221002 231533	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.017415982229347	0.917164398329163	4805	967	5000	0.752536408662781	-1e+07	55
20221002 231542	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.0203639443830429	0.820496144666541	1408	951	5000	0.347985606100888	-1e+07	56
20221002 231548	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.0415488238361244	0.412754602727829	4517	949	5000	0.358849234138355	-1e+07	57
20221002 231554	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.0595483635486923	0.719791264040253	6680	933	5000	0.476757783309081	-1e+07	58
20221002 231601	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.0371174181501118	0.624937672411565	5371	928	5000	0.525512624405586	-1e+07	59
20221002 231606	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.0773415981194749	0.809802388217999	4871	895	5000	0.488865926013193	-1e+07	60
20221002 231612	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.158920778996349	0.811189618834942	6280	992	5000	0.783089387421734	-1e+07	61
20221002 231617	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.127530745941588	0.220265416993074	6479	749	5000	0.389153388770512	-1e+07	62
20221002 231621	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.141740557327305	0.301385200681682	6859	860	5000	0.558252046534914	-1e+07	63
20221002 231626	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.0925726586024039	0.513331967205184	6178	695	5000	0.38921199204104	-1e+07	64
20221002 231632	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.080642065624015	0.479796995974542	1489	899	5000	0.3864626973972	-1e+07	65
20221002 231645	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.0109082978154686	0.263056538960632	2052	594	5002	0.273666560313356	-1e+07	66
20221002 231649	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.148642489520941	0.253550998518103	2349	756	5000	0.380276270656459	-1e+07	67
20221002 231656	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.0364555958730196	0.295386946600919	961	785	5000	0.335492454056722	-1e+07	68
20221002 231703	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.0341717583012996	0.751483535721887	1532	590	5001	0.350882344479435	-1e+07	69
20221002 231722	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.0065081275965305	0.760766089117896	6070	777	5000	0.279040111499606	-1e+07	70
20221002 231731	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.0345340286294766	0.74077135469777	3476	740	5000	0.343657909232469	-1e+07	71
20221002 231736	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.0752237916947803	0.28198344582535	6034	817	5000	0.206654586489371	-1e+07	72
20221002 231741	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.113769381331805	0.267283635917715	5984	952	5001	0.336228440794804	-1e+07	73
20221002 231752	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.01439536341328	0.263289320757669	7050	651	5000	0.279095250372374	-1e+07	74
20221002 231800	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.0279426346193218	0.843508491400338	6528	676	5000	0.751833726379597	-1e+07	75
20221002 231805	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.171798443329616	0.526446169869812	6620	559	5000	0.249574576862487	-1e+07	76
20221002 231810	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.113051765916057	0.280234519784658	6322	512	5000	0.272826542873436	-1e+07	77
20221002 231814	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.164479249533538	0.276043721188593	6261	614	5000	0.55294509667427	-1e+07	78
20221002 231822	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.0294033574552201	0.365778461315542	6171	612	5000	0.267633987291999	-1e+07	79
20221002 231827	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.154722857506962	0.291326240554397	1240	979	5000	0.503024851145232	-1e+07	80
20221002 231832	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.14521858792804	0.245202306140912	3990	607	5000	0.277293691979188	-1e+07	81
20221002 231837	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.165929533029497	0.898105838115378	6845	960	5000	0.2576500858915	-1e+07	82
20221002 231841	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.173180114124155	0.750504648003058	6995	974	5000	0.300606633728028	-1e+07	83
20221002 231846	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.14023108916166	0.748719933652361	4390	1008	5000	0.313946935648376	-1e+07	84
20221002 231851	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.164416240553686	0.840480571938263	1359	680	5000	0.327807459607893	-1e+07	85
20221002 231856	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.142017988761761	0.644975940445238	1075	678	5000	0.421342302818616	-1e+07	86
20221002 231902	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.0599274427996838	0.905564473196117	2905	772	5000	0.715896193742809	-1e+07	87
20221002 231907	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.0619835264842137	0.850781113865208	3768	590	5000	0.252352703500134	-1e+07	88
20221002 231913	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.0703843523281995	0.732307541788791	2251	943	5000	0.217948040863541	-1e+07	89
20221002 231919	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.0529659232197508	0.298386164062997	1742	963	5000	0.258645544119014	-1e+07	90
20221002 231924	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.125118955228105	0.552337945688353	6945	718	5000	0.245030063003197	-1e+07	91
20221002 231929	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.159885456524489	0.527385954167531	6321	1010	5000	0.255874158746585	-1e+07	92
20221002 231934	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.157448595207838	0.792223349801063	6332	667	5000	0.251521853632935	-1e+07	93
20221002 231940	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.0755371713079459	0.26462402836001	6763	589	5000	0.367652446583124	-1e+07	94
20221002 231945	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.172464083063485	0.871723649487214	4722	532	5000	0.819387601640297	-1e+07	95
20221002 231950	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.164474424208425	0.457025870126138	1623	462	5000	0.328524789356666	-1e+07	96
20221002 231955	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.169510424804388	0.897662192542622	6511	690	5000	0.721057396965736	-1e+07	97
20221002 232005	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.0210324177415397	0.511772433676688	6659	950	5001	0.318055797363089	-1e+07	98
20221002 232010	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.103925285844524	0.321100552854485	6701	804	5000	0.293813327231968	-1e+07	99
20221002 232015	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.152139481397871	0.785154903115472	6887	500	5000	0.556155794992751	-1e+07	100
20221002 232020	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.166892871202215	0.455486837205353	6809	657	5000	0.821696170526627	-1e+07	101
20221002 232028	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.0317880045430039	0.265613393287762	6814	530	5000	0.772342262597289	-1e+07	102
20221002 232032	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.167719306544044	0.380551803102252	3786	507	5000	0.802181637732724	-1e+07	103
20221002 232037	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.188829496669681	0.231142828990142	2172	532	5000	0.227361400805135	-1e+07	104
20221002 232047	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.0961745362311272	0.243343749146879	1805	536	5000	0.234056266749414	-1e+07	105
20221002 232052	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.173532841593451	0.571738476165972	6072	533	5000	0.592925820510738	-1e+07	106
20221002 232057	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.10936302006701	0.239606059259143	5280	552	5000	0.833390857291477	-1e+07	107
20221002 232108	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.0220822065166759	0.257722599425514	2726	519	5000	0.720015893615394	-1e+07	108
20221002 232113	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.0849969987770776	0.44460348396803	1382	522	5000	0.591852381581794	-1e+07	109
20221002 232118	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.160009505860363	0.838684649158227	1920	497	5000	0.806651815789025	-1e+07	110
20221002 232124	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.0569408565078453	0.803899529258613	4501	495	5000	0.820411872259727	-1e+07	111
20221002 232130	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.125931767178858	0.523984975423546	6467	948	5000	0.542492968939869	-1e+07	112
20221002 232137	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.029813391130226	0.595517593611436	6625	504	5000	0.406668978566901	-1e+07	113
20221002 232144	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.0523264112993996	0.280463749962981	3362	523	5000	0.322868988202926	-1e+07	114
20221002 232149	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.138784428923437	0.862600675258236	7192	674	5000	0.809099463612088	-1e+07	115
20221002 232154	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.120216186830423	0.88010073824112	6242	560	5000	0.768808074195887	-1e+07	116
20221002 232159	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.164516990225191	0.763122018725463	6702	678	5000	0.758561895524929	-1e+07	117
20221002 232204	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.131520057796114	0.406092130285671	5902	535	5000	0.415303406421984	-1e+07	118
20221002 232213	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.0301097041981547	0.560423809471612	6822	811	5000	0.456243162554203	-1e+07	119
20221002 232219	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.126652580536759	0.260429521360389	5684	802	5000	0.298929335804161	-1e+07	120
20221002 232224	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.109552498438738	0.447673325626114	7956	452	5000	0.455371322712427	-1e+07	121
20221002 232234	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.0172110985641101	0.483110428113665	2298	507	5000	0.309981010222543	-1e+07	122
20221002 232239	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.106966043168791	0.432918851561797	7125	515	5001	0.730905318505747	-1e+07	123
20221002 232247	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.0284856878553665	0.259943659765383	7393	437	5000	0.466120217959661	-1e+07	124
