fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	coverage	leaf_size_log	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221118 032126	471	824210	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	26	1	1	1	0.1	50	0.5	FALSE	309367	0.181828072885764	0.523591920174658	0.491161563677451	7.97597380630032	0.0209222614968018	16939	44282000	1
20221118 032321	471	824210	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	129	1	1	1	0.1	50	0.5	FALSE	309367	0.079485466957849	0.672624518419616	0.58201312906458	5.70138909724483	0.017649272847319	19720	43360000	2
20221118 034502	471	824210	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3831	1	1	1	0.1	50	0.5	FALSE	309367	0.0517549370320921	0.594264745051623	0.123600137928588	2.39111311429588	0.0196138336417756	17911	41618000	3
20221118 034607	471	824210	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	62	1	1	1	0.1	50	0.5	FALSE	309367	0.231807881903878	0.793861978448695	0.419165835843887	4.71376917813905	0.0197933853836178	17593	43774000	4
20221118 034823	471	824210	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	38	1	1	1	0.1	50	0.5	FALSE	309367	0.222925991740703	0.463602596925921	0.915732536969153	7.25251742049295	0.0163683984004886	20970	39820000	5
20221118 035005	471	824210	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	56	1	1	1	0.1	50	0.5	FALSE	309367	0.163645555982439	0.635304329005885	0.70392385318919	6.28254491847474	0.0222695921475379	16951	45458000	6
20221118 035637	471	824210	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	780	1	1	1	0.1	50	0.5	FALSE	309367	0.0784469464718859	0.392662602945347	0.371601818237832	4.00721684594464	0.0207180396622867	18353	44414000	7
20221118 040251	471	824210	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	362	1	1	1	0.1	50	0.5	FALSE	309367	0.0405959123297362	0.559767577098683	0.956217139004002	7.15776981462841	0.0163526114042907	19687	43746000	8
20221118 040523	471	824210	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	28	1	1	1	0.1	50	0.5	FALSE	309367	0.284137365551942	0.774589455651585	0.300635449605033	11.4911682254606	0.00453571747776203	18383	40034000	9
20221118 040657	471	824210	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	15	1	1	1	0.1	50	0.5	FALSE	309367	0.25720460116012	0.327351614489453	0.102776869954687	10.0876301733661	0.0193525242285787	19976	39888000	10
20221118 040832	471	824210	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	85	1	1	1	0.1	50	0.5	FALSE	309367	0.103160390900812	0.840537728072377	0.189015576595557	8.67077232169686	0.0168302688385182	19066	44108000	11
20221118 041255	471	824210	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	489	1	1	1	0.1	50	0.5	FALSE	309367	0.19085421151045	0.344727679918287	0.804755549282709	3.3217842803133	0.0203860204848042	18457	43486000	12
20221118 041726	471	824210	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	211	1	1	1	0.1	50	0.5	FALSE	309367	0.132345349817333	0.889338661896181	0.873382942652097	9.51112816711247	0.000748623584770385	17556	43608000	13
20221118 043855	471	824210	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	8156	1	1	1	0.1	50	0.5	FALSE	309367	0.0175966957367928	0.689015146577731	0.658467361518706	1.93483717770141	0.016507569183194	19422	41316000	14
20221118 044215	471	824210	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1301	1	1	1	0.1	50	0.5	FALSE	309367	0.281267134319714	0.7160077330278	0.25242457208733	1.37062474450795	0.0188690799330608	16461	40918000	15
20221118 044734	471	824210	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	230	1	1	1	0.1	50	0.5	FALSE	309367	0.145740500823231	0.441220151001471	0.627864727803535	11.270630584957	1.53746772991135e-05	17203	42954000	16
