fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	bagging_fraction	lambda_l1	lambda_l2	min_gain_to_split	ganancia	iteracion
20221003 010205	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	701	TRUE	309367	0.0111668410985735	0.606213079050393	5794	472	9012	0.295377804856867	1.65669305960347	0.47378284990445	0.0369697915834818	26380000	178
20221003 010225	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	26	TRUE	309367	0.210731753388163	0.32134210693897	4320	884	9012	0.200163404484645	2.12096442749685	1.30783272705056	0.0773377960031909	26140000	179
20221003 010249	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	61	TRUE	309367	0.267958621235975	0.294601352488219	4578	574	9157	0.389939731450756	2.89044689223859	2.96204881205605	0.0737334371530946	26330000	180
20221003 010611	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	750	TRUE	309367	0.0123320709848526	0.387919386478863	7001	936	8663	0.873822106566084	2.87732626619062	2.43273668117996	0.036706718305756	26120000	181
20221003 010752	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	327	TRUE	309367	0.0175790271842506	0.705439001308149	4129	472	8909	0.511009167607774	0.330690957155366	2.640473257355	0.0634441118027979	26350000	182
20221003 010923	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	334	TRUE	309367	0.0215389418378045	0.837114725259693	5646	187	8923	0.446014138490247	1.47816425385333	2.26404888463181	0.0221702437018359	26480000	183
20221003 011125	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	534	TRUE	309367	0.0189834231687004	0.803204165379252	6266	717	9417	0.491210236044516	3.13185606093199	1.67855126918567	0.0134717190362347	26690000	184
20221003 011647	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	1494	TRUE	309367	0.00641316542281216	0.785003965313371	5974	749	8871	0.550039193289801	2.89446219628313	1.64529669667768	0.00463266653244643	26660000	185
20221003 011801	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	270	TRUE	309367	0.0269688875819416	0.789615028360489	5702	508	9583	0.415799260622338	2.00341935518559	2.73243852666481	0.0431806670685536	26280000	186
20221003 012004	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	428	TRUE	309367	0.0218312654899826	0.392033052946369	6051	651	8791	0.323809396653383	0.502741283383175	2.1501790921435	0.0650480921271373	26580000	187
20221003 012044	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	61	TRUE	309367	0.075428046622152	0.623605291337636	2247	320	8253	0.643616630715811	2.90845243409013	2.43409521212887	0.0249299794046464	26380000	188
20221003 012113	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	83	TRUE	309367	0.196448751878423	0.326492365746503	5817	785	9210	0.287765209152767	0.675232493760319	0.847203659440288	0.00930645227153853	26300000	189
20221003 012429	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	669	TRUE	309367	0.0116772122371084	0.734983683374641	2067	159	8774	0.534916662095145	1.03512241939899	1.83328681275263	0.025554104746493	26380000	190
20221003 012644	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	425	TRUE	309367	0.0159374553081375	0.417302370681632	7870	715	8820	0.710896784309426	3.40154622541704	1.11248238019825	0.00860506208506383	26360000	191
20221003 012714	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	70	TRUE	309367	0.0930809011213502	0.772532365265964	3025	803	8702	0.236295578378144	2.2057626364863	2.80889495009943	0.0387236745607705	26040000	192
20221003 013445	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	1768	TRUE	309367	0.00615874486163293	0.378150769378316	5993	712	8755	0.739186476024289	3.44499841284478	0.758680712422138	0.0533762706990163	26810000	193
20221003 013510	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	30	TRUE	309367	0.218099468996136	0.300986640614821	4855	781	9212	0.810099936467977	0.547032010327923	2.74815469299236	0.0758359252520007	26060000	194
20221003 013611	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	211	TRUE	309367	0.0378297633630198	0.63389936659519	5524	343	8905	0.628859909510153	1.96164966069799	0.285607946324635	0.0616411902843544	26590000	195
20221003 014205	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	1041	TRUE	309367	0.00603098169237613	0.442872651547619	5441	467	8806	0.458799271551888	2.16326029708475	0.156872176012907	0.0615241289619893	26550000	196
20221003 014256	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	198	TRUE	309367	0.0488608106683288	0.88625926031123	6389	730	8979	0.630722711766455	2.89396538323266	2.46769760538835	0.0206446266690171	26610000	197
20221003 014921	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	1245	TRUE	309367	0.00503959518341581	0.383422175327777	6057	770	9243	0.65292076978394	1.90237065234926	0.557288627037392	0.0719905918318141	26560000	198
20221003 015433	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	1222	TRUE	309367	0.00906175143519743	0.393945432833479	6353	738	8906	0.578109348194464	3.87039635392304	0.807010169341933	0.093924771869847	26430000	199
20221003 015711	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	708	TRUE	309367	0.0130479103899472	0.794683346908938	6724	452	9466	0.402271292041771	2.4081899565196	0.454028731678349	0.0313425283053475	26510000	200
20221003 020110	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	1130	TRUE	309367	0.00860230453768503	0.719007619176004	6543	807	9059	0.570563207436969	2.690352756026	1.07674614291292	0.0261711774585115	26770000	201
20221003 020245	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	374	TRUE	309367	0.022622490936143	0.825635446840231	6817	792	9120	0.450004316769645	1.43690725412428	0.912235360119711	0.0133543617704568	26400000	202
20221003 020926	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	1927	TRUE	309367	0.00609630647203512	0.766659606095797	4620	600	8868	0.496526230162492	3.56266500084322	1.19692639869892	0.040172811479954	26190000	203
20221003 021039	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	208	TRUE	309367	0.0359193417185547	0.69853910482531	6312	773	9649	0.583395291725224	3.19746352830407	0.702761623806275	0.035485117144442	26390000	204
20221003 021251	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	447	TRUE	309367	0.0175212548148373	0.373709113022867	7799	664	7967	0.29747570820782	1.12804879736743	1.62525530609415	0.0537659026949455	25830000	205
20221003 021830	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	1295	TRUE	309367	0.00515945908858881	0.624017638464802	5382	388	8885	0.425989765885997	0.746277231316032	2.25266118175277	0.0770426313186159	26790000	206
20221003 022019	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	460	TRUE	309367	0.0205117423107917	0.661314830893922	5045	153	8878	0.425462712756018	3.34190773508046	2.44409593202463	0.0701627754638133	26490000	207
20221003 022540	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	1330	TRUE	309367	0.00534771897230707	0.648683640648436	5530	214	8942	0.372752867843383	1.4386889997451	0.970167926907616	0.0899983084736956	26680000	208
20221003 022729	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	373	TRUE	309367	0.0164335849780932	0.735767503570881	5552	564	8964	0.508485925963428	2.98225790007123	2.9074229735378	0.0746608799740107	26720000	209
20221003 022938	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	391	TRUE	309367	0.0164695232209939	0.581940852365717	5563	720	8930	0.531447730687074	2.35735263593975	2.0974503184511	0.0644259805131923	26780000	210
20221003 023502	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	1485	TRUE	309367	0.00574803167679642	0.65647713735471	6338	607	8934	0.490900135963132	2.89244898709527	1.8183382260832	0.0646030276708296	26700000	211
20221003 023613	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	156	TRUE	309367	0.0339468406026947	0.521879847052415	4803	472	8287	0.400133238479741	0.25780843736069	2.45908885024538	0.0780869233561197	26630000	212
20221003 023706	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	163	TRUE	309367	0.047063682171303	0.79360121413369	5430	338	8997	0.50989561913179	4.67852059433513	2.72179913401357	0.00132078501701165	26250000	213
20221003 023823	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	233	TRUE	309367	0.0323703341123358	0.345271516066027	5055	674	8614	0.644075093724743	1.38710628866672	1.53411459706295	0.0614603871153326	26460000	214
20221003 024121	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	745	TRUE	309367	0.0182970068700048	0.363211376072224	5972	695	8949	0.910997390360006	4.78531673355581	1.9747543295708	0.0453727670764934	26590000	215
