fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220912 023349	-0.482512120848696	2632.92886790843	776.697161619406	14	5	NA	1
20220912 023350	-0.448143003860605	1615.94609863164	653.599252319371	17	5	NA	2
20220912 023402	-0.72382600751298	3208.53251195523	608.401595641233	3	5	NA	3
20220912 023404	-0.365089429290674	2423.53476012319	187.2282868279	19	5	NA	4
20220912 023405	-0.0843297444720519	1924.54280182312	366.297945014812	6	5	NA	5
20220912 023407	-0.540307950561691	1173.72718054515	267.160592402404	11	5	NA	6
20220912 023408	-0.608056901401142	3716.05653678959	926.11598988685	10	5	NA	7
20220912 023410	-0.786175013985485	2887.78150304506	203.864878257897	8	5	NA	8
20220912 023411	-0.144506458677642	4625.73954443359	841.226463992934	4	5	NA	9
20220912 023413	-0.937415074033197	322.909817286709	40.9902941142645	12	5	NA	10
20220912 023414	-0.865169771006913	4336.22046033961	415.789139885776	16	5	NA	11
20220912 023416	-0.25881865080446	3792.72173413986	942.72133962177	20	5	NA	12
20220912 023417	0.0394175763576641	4727.99617978842	94.2733961222402	13	5	NA	13
20220912 023419	-0.840306501815212	1368.05541241089	506.844293521484	5	5	NA	14
20220912 023420	0.0726012296858245	1560.55012623686	435.801173362415	12	5	NA	15
20220912 023421	-0.954599285405129	3433.16871720762	807.373780167196	6	5	NA	16
20220912 025207	-0.259670209787146	1707.98733056925	739.142658406359	10	5	21080000	17
20220912 025230	-0.173472669087641	858.248023836539	343.743271961532	13	5	19786666.6666667	18
20220912 025246	-0.761943533852173	3212.54487368418	455.53794198102	18	5	19586666.6666667	19
20220912 025301	-0.201829897477	2801.94841244016	802.026564185013	16	5	20493333.3333333	20
20220912 025314	-0.658831724524498	1390.11045938001	627.481346235043	8	5	20533333.3333333	21
20220912 025329	-0.0736330536674358	4633.16996112118	200.71006551481	12	5	19453333.3333333	22
20220912 025343	-0.0358219173096586	2465.51667248046	38.0176716619171	10	5	19480000	23
20220912 025401	-0.551853860638221	1978.50895643595	291.166970597522	20	5	20853333.3333333	24
20220912 025413	-0.438936825397832	944.074081234256	180.715873584253	7	5	20386666.6666667	25
20220912 025428	-0.48238655772584	3645.92569688553	966.6477866106	14	5	19600000	26
20220912 025436	-0.871732075816544	3085.27686849327	899.895870932349	3	5	18946666.6666667	27
20220912 025445	-0.859851276017434	3903.75619934648	81.8473809728894	4	5	20040000	28
20220912 025454	0.0579127096018057	4123.83932044818	521.580592874074	5	5	-1300000	29
20220912 025510	-0.947975042200415	4709.49491711728	379.269598391838	19	5	19746666.6666667	30
20220912 025524	-0.888535096973646	4535.0815714983	488.496846380876	12	5	19173333.3333333	31
20220912 025541	-0.983817581878975	1512.70937967696	434.99289968377	16	5	20253333.3333333	32
20220912 025558	-0.458921373860493	1606.57545471181	1.40393316352521	10	5	19733333.3333333	33
20220912 025610	-0.956671064617891	402.978042435753	1.2193535384493	6	5	19746666.6666667	34
20220912 025631	-0.115355260855691	3254.12735768832	75.9841996222477	19	5	20373333.3333333	35
20220912 025647	-0.344746764981744	4999.34057338309	907.119610290545	20	5	19093333.3333333	36
20220912 025705	-0.454016196213632	1573.60433346597	786.275277910966	11	5	20880000	37
20220912 025728	-0.999409343683651	322.506395636493	161.083645566191	20	5	19760000	38
20220912 025747	-0.206472972358291	1030.73199845717	515.132014643184	20	5	20226666.6666667	39
20220912 025756	-0.756258313837438	5.88941188582558	2.64647569854227	3	5	17426666.6666667	40
20220912 025809	-0.999960549048214	4988.14961095048	66.9026900139909	7	5	18426666.6666667	41
20220912 025832	-0.338467845576143	1872.12626007427	2.60599567796149	17	5	18533333.3333333	42
20220912 025849	-0.114322725214983	2163.43004269729	999.874087372972	12	5	19346666.6666667	43
20220912 025905	-0.34080009585044	554.743916106758	277.266331547667	9	5	19720000	44
20220912 025922	-0.866947235567136	2005.33051356044	999.890045373004	20	5	19413333.3333333	45
20220912 025932	0.0999130973828094	2987.25341678248	5.42873816107311	15	5	-9e+05	46
20220912 025946	-0.0812335438598852	1500.53076233	1.67321440429201	8	5	19160000	47
20220912 025957	-0.548336147034255	1267.78548547053	630.801502850937	3	5	19240000	48
20220912 030015	-0.630135834093296	3297.59473459937	331.424928581575	20	5	20386666.6666667	49
20220912 030032	-0.605117318950952	1845.66380731525	919.138744293079	20	5	20360000	50
20220912 030051	-0.410553511947993	1425.67540535944	704.38949801365	20	5	20866666.6666667	51
20220912 030101	-0.381788219684024	1973.98476318475	986.740246787782	3	5	18920000	52
20220912 030117	-0.243867086103257	4289.82952877006	340.826205208502	10	5	19933333.3333333	53
20220912 030135	-0.478960559010939	914.053288095781	456.509156696895	20	5	19586666.6666667	54
20220912 030200	-0.914906345168145	2166.71606497586	1.45954042340719	20	5	18306666.6666667	55
20220912 030221	-0.42936429660337	2959.61246196323	518.285556370075	12	5	20213333.3333333	56
20220912 030242	-0.600155464620663	1226.21966582671	56.8290417066512	15	5	21360000	57
20220912 030303	-0.643929151104378	487.78659546007	241.890782388242	20	5	19053333.3333333	58
20220912 030319	-0.59028705285125	2672.32315380302	91.6800884819898	10	5	20586666.6666667	59
20220912 030333	-0.690231269921019	4873.47424849827	998.850249679164	10	5	19173333.3333333	60
20220912 030351	-0.286432637748905	1834.97844499214	916.99000997967	20	5	20280000	61
20220912 030409	-0.597629641836505	1704.65426316009	401.553910949492	15	5	20720000	62
20220912 030435	-0.576951307201337	1687.37180162901	1.9757897778868	20	5	18533333.3333333	63
20220912 030449	-0.617652405711336	1239.95089236126	63.9347679707046	7	5	20786666.6666667	64
20220912 030507	-0.536631913388381	4316.74692622748	294.557577659504	15	5	19786666.6666667	65
20220912 030524	-0.535093098890397	2172.57754944304	993.639217268227	20	5	19506666.6666667	66
20220912 030543	-0.541446045450383	372.424172679828	184.141764921219	13	5	20053333.3333333	67
20220912 030601	-0.674941997286965	3246.8117813889	48.1190028929396	12	5	19333333.3333333	68
20220912 030621	-0.608631870726748	2421.04159950644	158.388896754614	14	5	20760000	69
20220912 030637	-0.656895284729678	3186.61218101795	991.905622406287	20	5	19560000	70
20220912 030654	-0.821361007377418	4994.35035614108	363.992729634679	20	5	19133333.3333333	71
20220912 030704	-0.228545155861304	1978.57346778584	981.296948061921	3	5	19373333.3333333	72
20220912 030721	-0.155926460560605	4991.65185428511	531.897813112251	20	5	18946666.6666667	73
20220912 030740	-0.26322654911597	358.292910365501	177.895290088161	12	5	20066666.6666667	74
20220912 030757	-0.601441331294103	150.123780970328	74.3335923265366	10	5	19053333.3333333	75
20220912 030813	-0.821599513183623	1202.37399835893	586.168089128462	9	5	20346666.6666667	76
20220912 030830	-0.204650817554896	2489.03670395578	182.846108770547	11	5	20653333.3333333	77
20220912 030849	-0.551986645070612	1256.42900327292	211.650188494485	14	5	19840000	78
20220912 030908	-0.527091534950231	2027.21809757618	318.011374761805	20	5	20826666.6666667	79
20220912 030918	-0.287721096715447	2569.97892601262	546.131289081893	3	5	19586666.6666667	80
20220912 030936	-0.251730821383779	2511.76753850224	613.835186380188	20	5	20360000	81
20220912 030946	-0.718216582439084	1802.26921422599	897.736409798323	3	5	19040000	82
20220912 030956	-0.635880754286893	4978.6363253919	687.110190996127	3	5	18880000	83
20220912 031012	-0.564676944299053	3872.78740027773	971.880387352458	16	5	19813333.3333333	84
20220912 031032	-0.854684575894811	428.993385040488	211.291966184346	13	5	19013333.3333333	85
20220912 031047	-0.79481080278951	3484.6990062878	999.72157952213	9	5	19613333.3333333	86
20220912 031104	-0.546742234002444	3417.16439793791	576.145486540622	20	5	20013333.3333333	87
20220912 031125	-0.599843999938531	4968.25876378185	25.6592969430722	18	5	18373333.3333333	88
20220912 031142	-0.953332627747286	2009.55221799722	999.951555367888	13	5	19600000	89
20220912 031159	-0.435450093491143	2046.68350880062	999.111323892051	18	5	19453333.3333333	90
20220912 031218	-0.401410498557738	762.082302761674	380.943002416694	12	5	20360000	91
20220912 031232	-0.458247099485637	4743.63437028578	606.514697943596	3	5	19453333.3333333	92
20220912 031255	-0.0605466870783129	2495.61192402575	61.835054896458	20	5	19786666.6666667	93
20220912 031310	-0.152323665473268	4999.58929926815	10.4930589988913	10	5	18160000	94
20220912 031320	-0.806645806334561	3241.33375008236	72.4294502630545	3	5	19666666.6666667	95
20220912 031342	-0.625785965337182	1520.4210173016	14.8843513338315	16	5	18706666.6666667	96
20220912 031404	-0.978294894298446	919.921232176307	6.63999572944495	15	5	19493333.3333333	97
20220912 031422	-0.653823975853114	1897.41097777092	485.330670873418	19	5	20533333.3333333	98
20220912 031440	-0.754907633932543	4999.86514370271	122.779774263417	14	5	19426666.6666667	99
20220912 031457	-0.203253685054256	2932.35794668759	999.865571022944	17	5	19333333.3333333	100
20220912 031506	0.0992553469994056	1598.73379153617	678.722856891849	19	5	-1260000	101
20220912 031516	-0.601487985285922	1514.27963278618	77.8937927125617	3	5	19866666.6666667	102
20220912 031533	-0.700509378168301	3770.3054147127	461.908760734038	20	5	19440000	103
20220912 031543	-0.487374202356136	1443.43082204584	718.349978249724	3	5	19240000	104
20220912 031600	-0.599545911506635	2244.81152550322	713.706345175163	15	5	20706666.6666667	105
20220912 031618	-0.318832622344368	1468.49767845243	730.686164263392	14	5	20880000	106
20220912 031636	-0.36179503432918	1321.76677297758	660.33582474378	20	5	20373333.3333333	107
20220912 031650	-0.654053840150722	3316.89339325545	364.565003148153	7	5	20013333.3333333	108
20220912 031708	-0.228583048286553	1809.65846800833	533.031295868475	12	5	20373333.3333333	109
20220912 031718	-0.191491463470236	3046.74876880911	560.506330204708	3	5	19720000	110
20220912 031728	-0.951384930918117	3141.7616346113	390.068073914054	3	5	19213333.3333333	111
20220912 031744	-0.999962483515878	3979.75271133484	965.211775845112	20	5	19293333.3333333	112
20220912 031808	-0.189175535501978	2975.80859944465	13.3026523111271	20	5	18133333.3333333	113
20220912 031825	-0.109306535184869	2710.40753462424	225.277504017165	11	5	20840000	114
20220912 031844	-0.132480317447107	2321.57421240158	458.543510734575	15	5	20893333.3333333	115
20220912 031900	-0.269700748826095	4853.12797280216	811.341089739176	13	5	19546666.6666667	116
20220912 031919	-0.103183959348315	2744.88479510496	509.262393741779	20	5	20053333.3333333	117
20220912 031929	-0.771409772018801	4994.21770651522	614.115744979093	3	5	19013333.3333333	118
20220912 031946	-0.83901411910719	3080.70649424201	577.708447862946	11	5	20160000	119
20220912 032001	-0.420207117623153	1377.0003098728	687.401942455607	7	5	20746666.6666667	120
20220912 032021	-0.600622371914034	1185.63188341269	259.822825246907	20	5	20066666.6666667	121
20220912 032042	-0.413313775551169	645.878659852821	86.0239641855741	14	5	20186666.6666667	122
20220912 032100	-0.999880234617739	2310.01502865059	628.387779616102	20	5	19560000	123
20220912 032112	-0.400607294312974	3656.74585934723	81.6736704133571	5	5	20520000	124
20220912 032130	-0.108340390617682	2400.96385274129	83.9809663154585	11	5	20533333.3333333	125
20220912 032150	-0.592599353782492	833.651847136373	75.4398946541905	14	5	20973333.3333333	126
20220912 032206	-0.617469002246819	3029.23915808421	999.922984232026	10	5	19640000	127
20220912 032225	-0.405063850982019	4990.02674411708	197.00633424638	20	5	19453333.3333333	128
20220912 032248	-0.682373712234954	935.81233783644	467.054920172183	13	5	19706666.6666667	129
20220912 032301	-0.915689414407645	1199.91017357135	100.287414868753	6	5	20360000	130
20220912 032320	-0.9321293124916	940.365217875051	470.133357918162	11	5	19680000	131
20220912 032341	-0.119471411927678	579.436282192596	280.202282276763	15	5	19040000	132
