fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	coverage	leaf_size_log	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221029 114834	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	446	1	1	1	0.1	50	0.5	FALSE	309367	0.0185268392501506	0.520609587618407	0.55054671478159	9.4330186452931	0.00505283677380375	15254	16372000	22
20221029 115251	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	753	1	1	1	0.1	50	0.5	FALSE	309367	0.0101683156110677	0.426565162438193	0.627732781935613	10.0393816674789	0.00584767662073139	15881	16238000	23
20221029 115359	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	220	1	1	1	0.1	50	0.5	FALSE	309367	0.151403165985508	0.478313528244902	0.886105932417173	10.0817055167603	2.44991576462093e-06	16203	14714000	24
20221029 115527	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	346	1	1	1	0.1	50	0.5	FALSE	309367	0.0694759920803859	0.561857798434501	0.505204681514379	9.83187917251151	3.60344642308181e-06	18812	11976000	25
20221029 115650	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	253	1	1	1	0.1	50	0.5	FALSE	309367	0.0708891613980253	0.472515771625668	0.72109027309899	9.86128035105997	5.90858611784858e-05	16316	15288000	26
20221029 115740	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	198	1	1	1	0.1	50	0.5	FALSE	309367	0.15694760533365	0.47859682812031	0.261720191060314	9.84215524075305	1.95442613503467e-06	16523	13994000	27
20221029 115804	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	16	1	1	1	0.1	50	0.5	FALSE	309367	0.233444049257908	0.783657785235718	0.649085828251985	7.32825676057674	0.031767533306538	15204	15432000	28
20221029 115951	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	226	1	1	1	0.1	50	0.5	FALSE	309367	0.0672272401970229	0.765986203844287	0.531704868473799	11.4435586382973	1.11427080760964e-05	15195	15530000	29
20221029 120049	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	562	1	1	1	0.1	50	0.5	FALSE	309367	0.137060745501404	0.450328219071124	0.232556533505884	3.36326760303229	0.0203537958664931	17487	13266000	30
20221029 120141	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	387	1	1	1	0.1	50	0.5	FALSE	309367	0.0457495860059187	0.387588483370841	0.595138317803061	3.40869267075229	0.0211645975071139	17245	13750000	31
20221029 120205	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	159	1	1	1	0.1	50	0.5	FALSE	309367	0.0876925303795724	0.795767206591461	0.830440383152163	3.50646017027576	0.0191271797705426	17571	13738000	32
20221029 120435	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2031	1	1	1	0.1	50	0.5	FALSE	309367	0.017977643664924	0.293767816753173	0.629642744058208	2.28076654169103	0.0187941404724328	18677	9926000	33
20221029 120509	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	208	1	1	1	0.1	50	0.5	FALSE	309367	0.0424909253330668	0.793779674310377	0.600191717207001	3.82495038426877	0.0206953380123595	17023	14594000	34
20221029 120546	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	286	1	1	1	0.1	50	0.5	FALSE	309367	0.117714395225418	0.364888648769027	0.391347257852694	3.09349039011099	0.0173238259007734	19517	10726000	35
20221029 120619	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	29	1	1	1	0.1	50	0.5	FALSE	309367	0.148447543809409	0.693201937552495	0.410512114021589	9.37148941941722	0.0213081742596259	15919	13842000	36
20221029 120701	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	20	1	1	1	0.1	50	0.5	FALSE	309367	0.124075547660845	0.72068673354676	0.977958676495973	8.58673800587794	0.0427381333463879	16711	14098000	37
20221029 120744	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	95	1	1	1	0.1	50	0.5	FALSE	309367	0.201614871031402	0.683030056497967	0.914186616894393	9.98830322055798	8.41641379545004e-06	15724	13672000	38
20221029 120803	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	40	1	1	1	0.1	50	0.5	FALSE	309367	0.219983475931215	0.687222488228372	0.735264969498024	4.35537475467986	0.0232294162400486	15262	15556000	39
20221029 120856	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	563	1	1	1	0.1	50	0.5	FALSE	309367	0.113189459316558	0.303641193107096	0.768170860891289	2.48475202945294	0.0174711965520341	19857	8686000	40
20221029 120924	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	21	1	1	1	0.1	50	0.5	FALSE	309367	0.276373976201892	0.558215056956234	0.124855538939487	8.36178088364052	0.0240547219435802	14665	15550000	41
20221029 121007	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	170	1	1	1	0.1	50	0.5	FALSE	309367	0.172171562692441	0.386030879310146	0.511911501188087	9.05828716015187	9.72572198603775e-06	16010	14300000	42
