fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20220927 004356	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1144	TRUE	309367	0.00511830397435164	0.737090854762078	424	909	8081	27120000	105
20220927 005148	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1172	TRUE	309367	0.00515871704761746	0.822747515242375	356	689	8342	27400000	106
20220927 005559	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	622	TRUE	309367	0.0264080877994802	0.541975947694335	4	1020	8452	26380000	107
20220927 010323	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	978	TRUE	309367	0.00503330760193807	0.556331525194435	376	857	8403	27440000	108
20220927 010633	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	527	TRUE	309367	0.0340901257567283	0.768262153167458	5	921	8995	27210000	109
20220927 010929	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	303	TRUE	309367	0.0377464193819011	0.790816154163815	51	929	8232	26980000	110
20220927 011434	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	825	TRUE	309367	0.00814664063005835	0.573867891788273	445	910	8812	27420000	111
20220927 011941	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	841	TRUE	309367	0.00732172336064735	0.613690775419301	456	870	9492	27420000	112
20220927 012348	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	863	TRUE	309367	0.00853071991431293	0.609292731003092	670	880	9418	27410000	113
20220927 012707	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	453	TRUE	309367	0.00838441720997008	0.499698842099141	607	941	9575	26770000	114
20220927 013040	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	832	TRUE	309367	0.00807368831633036	0.684508778571268	961	799	9656	26850000	115
20220927 013352	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	361	TRUE	309367	0.0331244280744481	0.59592276654914	41	941	9596	26890000	116
20220927 013834	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	687	TRUE	309367	0.00826128485380903	0.652184630155503	361	742	9035	27290000	117
20220927 014115	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	279	TRUE	309367	0.0342812819735421	0.678227684319834	16	898	9101	27160000	118
20220927 014437	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	355	TRUE	309367	0.0380369734416877	0.69359308835715	75	1002	9453	27020000	119
20220927 015042	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1643	TRUE	309367	0.00596526122808471	0.466133724386756	1371	592	9084	27280000	120
