fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	coverage	leaf_size_log	bagging_fraction	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221122 085127	471	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	117	1	1	1	0.1	50	0.5	FALSE	309367	0.291790670732036	0.870826279011089	0.987500357680256	10.4112876689294	0.697572322035558	0.0002980175766565	16851	40858000	18
20221122 090832	471	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1030	1	1	1	0.1	50	0.5	FALSE	309367	0.284100208242657	0.390096664514858	0.762788180613425	1.07876597477589	0.583520804543514	0.015503984568417	19865	36670000	19
20221122 092748	471	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1623	1	1	1	0.1	50	0.5	FALSE	309367	0.021713218392164	0.833030166488607	0.207840597479371	7.18220403195592	0.4523361240339	0.0220507939916904	16843	46874000	20
20221122 100018	471	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1746	1	1	1	0.1	50	0.5	FALSE	309367	0.033148866418271	0.89847948574872	0.960655302268582	7.54509578280147	0.56558773779617	0.00972604186636777	16952	45296000	21
20221122 100616	471	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	465	1	1	1	0.1	50	0.5	FALSE	309367	0.0862279792486271	0.898724885102878	0.115234350706261	7.68367078391561	0.407493567217088	0.0223182417994479	16516	46088000	22
20221122 101315	471	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	321	1	1	1	0.1	50	0.5	FALSE	309367	0.0727915294285936	0.888783848735729	0.363918856067004	7.08182091294232	0.944232404225986	0.0199085462726225	18379	44122000	23
20221122 112508	471	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6072	1	1	1	0.1	50	0.5	FALSE	309367	0.00507404819278976	0.75661330306333	0.206945474264275	8.05920571771331	0.200749963097387	0.0214495835747695	16873	45854000	24
20221122 121810	471	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2501	1	1	1	0.1	50	0.5	FALSE	309367	0.0203835464729679	0.507353223981008	0.33453219447681	6.73537215539555	0.279373331371261	0.0176478140944484	19337	44606000	25
20221122 135636	471	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6755	1	1	1	0.1	50	0.5	FALSE	309367	0.00521035773871679	0.898915030899333	0.184419869759561	10.2235236118829	0.450601210006217	0.00645429580018505	18878	44244000	26
20221122 144258	471	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5464	1	1	1	0.1	50	0.5	FALSE	309367	0.00504279677670063	0.839476503234263	0.0511618511649688	7.48405656125719	0.521492444218049	0.0200022238098136	17650	45420000	27
20221122 145416	471	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	721	1	1	1	0.1	50	0.5	FALSE	309367	0.0378211520396457	0.890898264517139	0.247185204590654	7.97509279626051	0.275882028895091	0.0184228254621456	18652	44856000	28
20221122 150034	471	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	146	1	1	1	0.1	50	0.5	FALSE	309367	0.106787906170904	0.799510379192713	0.779503247986341	7.48226113926717	0.354827414037433	0.0207229943600161	17412	45496000	29
20221122 152157	471	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1093	1	1	1	0.1	50	0.5	FALSE	309367	0.0177144131023076	0.822328998673811	0.696202566429247	6.98621097652301	0.202685774862469	0.0230075219909929	16560	46640000	30
20221122 160442	471	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2163	1	1	1	0.1	50	0.5	FALSE	309367	0.0197754233958814	0.751115130537244	0.685659477691274	8.22973408402171	0.487693059513911	0.00644225406303311	19557	42886000	31
20221122 160917	471	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	363	1	1	1	0.1	50	0.5	FALSE	309367	0.102510855529179	0.898604334453613	0.0821073523641132	7.07592311276621	0.460380838733334	0.0221649327432686	16380	46280000	32
20221122 163309	471	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1810	1	1	1	0.1	50	0.5	FALSE	309367	0.0083431263902384	0.851046557023371	0.180097902027759	7.26018856357093	0.200205154498395	0.0238139040307316	16111	46258000	33
20221122 165917	471	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1273	1	1	1	0.1	50	0.5	FALSE	309367	0.0157174547918163	0.896822845031274	0.899402129391058	6.9709999949854	0.418684824160344	0.0244459764948629	15963	47194000	34
20221122 171016	471	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	475	1	1	1	0.1	50	0.5	FALSE	309367	0.0492008796448893	0.85891455365543	0.742531581326546	6.99480885039056	0.444162076327227	0.0231133336759764	16317	45846000	35
20221122 173214	471	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	851	1	1	1	0.1	50	0.5	FALSE	309367	0.00784625389429715	0.829369383162984	0.999590772251975	6.54305650646021	0.329062385595669	0.0180904128568615	19473	43774000	36
20221122 174132	471	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	725	1	1	1	0.1	50	0.5	FALSE	309367	0.032386646512224	0.814655987314194	0.152117046592544	7.114368509109	0.410399162709182	0.0243767431264352	15770	46700000	37
20221122 185622	471	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3984	1	1	1	0.1	50	0.5	FALSE	309367	0.00502618724023703	0.656665458075539	0.986084471897517	7.29782909118049	0.392252972371958	0.0192560817773346	18118	45764000	38
20221122 190450	471	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	758	1	1	1	0.1	50	0.5	FALSE	309367	0.0287138667971764	0.846178540131132	0.084996900637585	6.82427770409919	0.61488160384593	0.0204856536940252	17201	45598000	39
20221122 192250	471	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	469	1	1	1	0.1	50	0.5	FALSE	309367	0.0247159125184502	0.440542748405945	0.908204770942767	7.42920522720944	0.200282830523481	0.0239524434514675	16155	47530000	40
20221122 202157	471	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2832	1	1	1	0.1	50	0.5	FALSE	309367	0.00823335965685958	0.320660678169448	0.734489167131983	7.15172049199377	0.200225787721479	0.0216643585567198	16961	46718000	41
20221122 202710	471	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	82	1	1	1	0.1	50	0.5	FALSE	309367	0.153548659222288	0.655811944565256	0.999263219543103	7.58300438268082	0.200229165415191	0.0201806419810415	17489	45582000	42
20221122 205347	471	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1240	1	1	1	0.1	50	0.5	FALSE	309367	0.0239142314631349	0.3763338484601	0.318582328718819	7.63072146246399	0.203137922784313	0.0221272390067348	16769	47502000	43
20221122 210625	471	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	669	1	1	1	0.1	50	0.5	FALSE	309367	0.135091164304124	0.343810446230469	0.052236500710984	7.64238133651845	0.492524564569991	0.0198858127007877	17954	45132000	44
20221122 212414	471	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	690	1	1	1	0.1	50	0.5	FALSE	309367	0.0237520627943283	0.300822160015886	0.934168925368619	7.51507048363144	0.200285370108454	0.0204809198316862	17636	46488000	45
20221122 222312	471	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2659	1	1	1	0.1	50	0.5	FALSE	309367	0.0188481628420407	0.465307774147622	0.470655977886801	7.44049997453878	0.20092553233686	0.0166348866853546	17780	45480000	46
20221122 223217	471	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	335	1	1	1	0.1	50	0.5	FALSE	309367	0.0741350042391234	0.323673418593904	0.212034986121188	7.56499058033433	0.587847534701064	0.0180821369302599	18884	44792000	47
20221122 224725	471	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	704	1	1	1	0.1	50	0.5	FALSE	309367	0.0350784042931875	0.728169641222732	0.871110179989704	7.1225984054422	0.201353240152959	0.021817244071752	16388	46184000	48
20221122 230321	471	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	645	1	1	1	0.1	50	0.5	FALSE	309367	0.0537290263279071	0.419004450590796	0.260161542640312	7.81802662683502	0.203447961827436	0.0211201685779011	17131	45818000	49
20221122 231048	471	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	137	1	1	1	0.1	50	0.5	FALSE	309367	0.0743941504865876	0.381413198377064	0.807228416684757	7.5363889797462	0.229560895381622	0.0207577796579241	17500	45800000	50
20221123 003600	471	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4382	1	1	1	0.1	50	0.5	FALSE	309367	0.00525028571691018	0.339825020236188	0.242674710200566	7.67056019430712	0.275252296747984	0.0233117837148807	16337	47646000	51
20221123 003940	471	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	206	1	1	1	0.1	50	0.5	FALSE	309367	0.182704879894858	0.859911389378816	0.114929730309102	7.52560071654415	0.501505080959941	0.018895267323329	18163	44634000	52
