fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	coverage	leaf_size_log	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221119 033019	2198	489952	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2275	1	1	1	0.1	50	0.5	FALSE	309367	0.0983503054560424	0.589179850448272	0.172318091691704	2.10105371300597	0.0209270285263421	17561	39998000	1
20221119 033325	2198	489952	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	521	1	1	1	0.1	50	0.5	FALSE	309367	0.190654148117392	0.684143900452182	0.302682643777371	4.56513551430544	0.0179666690964066	18577	40766000	2
20221119 040307	2198	489952	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1480	1	1	1	0.1	50	0.5	FALSE	309367	0.0322395088994381	0.453026432238403	0.522894169907522	9.74307934373792	7.17074922200643e-06	14693	43014000	3
20221119 040424	2198	489952	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	69	1	1	1	0.1	50	0.5	FALSE	309367	0.215396655552031	0.802314602950355	0.793274204980116	3.44598893924558	0.0201477628149226	19125	40870000	4
20221119 040946	2198	489952	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	401	1	1	1	0.1	50	0.5	FALSE	309367	0.242210970205779	0.37627710790839	0.0647128162483568	8.01933645278041	0.0143153392640451	15377	39406000	5
20221119 041201	2198	489952	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	182	1	1	1	0.1	50	0.5	FALSE	309367	0.144726405995243	0.668123536065104	0.630959214097675	5.78022037762275	0.0142682222744414	19793	40174000	6
20221119 041750	2198	489952	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1009	1	1	1	0.1	50	0.5	FALSE	309367	0.0807493486016756	0.83679871627246	0.397428865538677	6.45084940301604	0.00728100832657642	17672	40736000	7
20221119 042027	2198	489952	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	364	1	1	1	0.1	50	0.5	FALSE	309367	0.280567452611067	0.558235894795507	0.839634928230953	2.44682877080049	0.0218285883802344	17724	41192000	8
20221119 042542	2198	489952	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	100	1	1	1	0.1	50	0.5	FALSE	309367	0.168405308214351	0.510078932726174	0.922603798987984	11.0616297300148	7.14885815897095e-05	17217	40126000	9
20221119 043213	2198	489952	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1212	1	1	1	0.1	50	0.5	FALSE	309367	0.0613033837533294	0.632642714327085	0.249577219336788	7.41556822021084	0.00525312507798908	18157	39926000	10
20221119 043603	2198	489952	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	148	1	1	1	0.1	50	0.5	FALSE	309367	0.283010505269631	0.313701319025131	0.423090519828838	10.4134479813656	4.47178793530832e-06	15331	38298000	11
20221119 050830	2198	489952	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1674	1	1	1	0.1	50	0.5	FALSE	309367	0.0181822661506885	0.360511151605169	0.992184963732143	9.00671655245242	0.000306019895583013	15715	43610000	12
20221119 051055	2198	489952	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	795	1	1	1	0.1	50	0.5	FALSE	309367	0.246028120494011	0.733142591879005	0.156493791753019	3.80299803859089	0.0197807346083357	19561	37838000	13
20221119 051504	2198	489952	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1595	1	1	1	0.1	50	0.5	FALSE	309367	0.0420446883657132	0.754976438163431	0.558206541416439	1.51257933132001	0.0266730506224139	15624	40032000	14
20221119 052001	2198	489952	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	125	1	1	1	0.1	50	0.5	FALSE	309367	0.13139358510045	0.868686975599849	0.722211877999507	11.4991514065914	2.17600094790795e-05	18574	39892000	15
20221119 052604	2198	489952	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	356	1	1	1	0.1	50	0.5	FALSE	309367	0.186871118247436	0.423992676023045	0.655114162527752	6.79835286641901	0.00388264130355064	16208	40784000	16
20221119 054717	2198	489952	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	822	1	1	1	0.1	50	0.5	FALSE	309367	0.0220526391841008	0.36326663232495	0.814839935841056	9.78504029763432	0.000741245490382531	15730	43660000	17
20221119 061535	2198	489952	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1466	1	1	1	0.1	50	0.5	FALSE	309367	0.0167447571849271	0.403116059883347	0.693022218610406	10.6487590981318	1.28685830557188e-05	16769	42382000	18
20221119 062900	2198	489952	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	770	1	1	1	0.1	50	0.5	FALSE	309367	0.0239623855271034	0.365189612041012	0.862921848131215	9.10038607799387	0.00198080105139956	16570	42780000	19
20221119 065151	2198	489952	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1575	1	1	1	0.1	50	0.5	FALSE	309367	0.0177902220959518	0.619532785609053	0.966990795756763	9.59867272911703	5.12799749534728e-05	18065	40990000	20
20221119 071539	2198	489952	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1523	1	1	1	0.1	50	0.5	FALSE	309367	0.0184273441560339	0.358790817988988	0.838096441041024	9.5947897356012	0.000107146773915871	15974	42772000	21
20221119 073716	2198	489952	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	903	1	1	1	0.1	50	0.5	FALSE	309367	0.0249981131368737	0.381504271711171	0.620757535453759	9.97302890281235	0.000243489182527442	15085	43990000	22
20221119 075815	2198	489952	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1272	1	1	1	0.1	50	0.5	FALSE	309367	0.0277305497746143	0.355633650648479	0.980700107914894	9.99188287760229	7.36512508754358e-06	15384	42912000	23
20221119 081534	2198	489952	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1074	1	1	1	0.1	50	0.5	FALSE	309367	0.0221688989489483	0.367310175210836	0.513789806948643	9.91362304071763	0.000345514177030339	15234	43532000	24
