fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	coverage	leaf_size_log	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221029 033333	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	29	1	1	1	0.1	50	0.5	FALSE	309367	0.0954671801712538	0.732103445872781	0.839547362544545	10.3619701285788	0.0346878951582123	14092	16136000	1
20221029 033354	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	40	1	1	1	0.1	50	0.5	FALSE	309367	0.256652402002655	0.301991081304732	0.263376678654458	5.92702354332141	0.0344763779604468	16787	14666000	2
20221029 033417	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	32	1	1	1	0.1	50	0.5	FALSE	309367	0.277300194753188	0.490887950046454	0.716073720941495	4.20703146979213	0.0268659719289374	15976	14128000	3
20221029 033435	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	47	1	1	1	0.1	50	0.5	FALSE	309367	0.236450362569012	0.654890203475952	0.316392888305563	5.66412575358117	0.0223450335248896	14476	15528000	4
20221029 033512	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	38	1	1	1	0.1	50	0.5	FALSE	309367	0.175343639628845	0.545202363657882	0.674409686875151	9.12680698093027	0.0098448854479145	17590	11860000	5
20221029 033537	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	116	1	1	1	0.1	50	0.5	FALSE	309367	0.201422863210464	0.32577378518472	0.425585861458239	3.04949895890604	0.0260574542006506	15417	14206000	6
20221029 033629	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	346	1	1	1	0.1	50	0.5	FALSE	309367	0.0529572471335996	0.443095108083799	0.572027087355673	4.67436343482404	0.0144152976296018	18059	13562000	7
20221029 033651	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	55	1	1	1	0.1	50	0.5	FALSE	309367	0.146921940065367	0.709985026851064	0.172818787322467	7.29310769627045	0.0153481838271126	17129	13262000	8
20221029 033850	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1556	1	1	1	0.1	50	0.5	FALSE	309367	0.100812812283402	0.410585273097968	0.120872282457276	1.06410745681205	0.0861468982208656	15357	11686000	9
20221029 033939	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	58	1	1	1	0.1	50	0.5	FALSE	309367	0.124378729815944	0.354801503181807	0.965773434088624	8.49918348202482	0.0246399149755701	13844	17512000	10
20221029 034006	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	152	1	1	1	0.1	50	0.5	FALSE	309367	0.223660534615483	0.244590036862064	0.893345400030375	2.04833562654676	0.0194878323256281	18854	9572000	11
20221029 034125	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	423	1	1	1	0.1	50	0.5	FALSE	309367	0.0765496290176816	0.528899953956716	0.105372161164996	11.6184244875476	1.68852503672696e-06	15897	15966000	12
20221029 034520	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	448	1	1	1	0.1	50	0.5	FALSE	309367	0.0310329562546394	0.631057809133199	0.801385919479799	11.1129441137455	4.54551313840616e-05	15692	15816000	13
20221029 034546	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	19	1	1	1	0.1	50	0.5	FALSE	309367	0.287506469923246	0.58381715452706	0.610679136095132	6.50764614941727	0.0217084856055081	17813	11014000	14
20221029 034730	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2286	1	1	1	0.1	50	0.5	FALSE	309367	0.0241288185742451	0.784515139934956	0.356011185365787	3.08245440469182	0.017595384524455	18819	11642000	15
20221029 034809	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	178	1	1	1	0.1	50	0.5	FALSE	309367	0.169445933499082	0.23601116060745	0.475165941684827	9.505226481313	3.26728548924385e-05	15956	14968000	16
20221029 034923	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	251	1	1	1	0.1	50	0.5	FALSE	309367	0.0409955031233782	0.354845749991835	0.622968507002173	8.50465002125532	0.00860907580357651	15149	16902000	17
20221029 034952	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	17	1	1	1	0.1	50	0.5	FALSE	309367	0.260575548740506	0.354358667955594	0.954160674150893	8.0393508640333	0.0477261269088997	16681	14798000	18
20221029 035038	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	221	1	1	1	0.1	50	0.5	FALSE	309367	0.175846057740073	0.320872564898377	0.995333713079864	8.57929680305098	6.81926751268327e-06	16658	14844000	19
20221029 035105	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	16	1	1	1	0.1	50	0.5	FALSE	309367	0.280042497474924	0.361150098654177	0.949684402837022	8.53652323771924	0.0539754988206922	15809	15102000	20
20221029 035149	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	205	1	1	1	0.1	50	0.5	FALSE	309367	0.237196221113458	0.35290390041534	0.875520337826534	8.52547612810825	1.6148895347463e-06	17001	12638000	21
20221029 035222	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	66	1	1	1	0.1	50	0.5	FALSE	309367	0.21281811871732	0.354806720347557	0.818094839364236	8.71246059226671	0.00324226977797221	14946	14828000	22
20221029 035246	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	16	1	1	1	0.1	50	0.5	FALSE	309367	0.233444049257908	0.783657785235718	0.649085828251985	7.32825676057674	0.031767533306538	15204	15432000	23
20221029 035438	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	226	1	1	1	0.1	50	0.5	FALSE	309367	0.0672272401970229	0.765986203844287	0.531704868473799	11.4435586382973	1.11427080760964e-05	15195	15530000	24
20221029 035536	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	234	1	1	1	0.1	50	0.5	FALSE	309367	0.120954779427576	0.340582008128119	0.929691861167576	9.7813415102394	9.58180906501136e-06	17725	13430000	25
20221029 035634	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	562	1	1	1	0.1	50	0.5	FALSE	309367	0.137060745501404	0.450328219071124	0.232556533505884	3.36326760303229	0.0203537958664931	17487	13266000	26
20221029 035724	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	387	1	1	1	0.1	50	0.5	FALSE	309367	0.0457495860059187	0.387588483370841	0.595138317803061	3.40869267075229	0.0211645975071139	17245	13750000	27
20221029 035750	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	159	1	1	1	0.1	50	0.5	FALSE	309367	0.0876925303795724	0.795767206591461	0.830440383152163	3.50646017027576	0.0191271797705426	17571	13738000	28
20221029 040021	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2031	1	1	1	0.1	50	0.5	FALSE	309367	0.017977643664924	0.293767816753173	0.629642744058208	2.28076654169103	0.0187941404724328	18677	9926000	29
20221029 040110	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	150	1	1	1	0.1	50	0.5	FALSE	309367	0.146563812275641	0.354833643405822	0.945070807627025	8.42474565213613	0.000215139587561258	17077	13526000	30
20221029 040141	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	208	1	1	1	0.1	50	0.5	FALSE	309367	0.0424909253330668	0.793779674310377	0.600191717207001	3.82495038426877	0.0206953380123595	17023	14594000	31
20221029 040218	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	286	1	1	1	0.1	50	0.5	FALSE	309367	0.117714395225418	0.364888648769027	0.391347257852694	3.09349039011099	0.0173238259007734	19517	10726000	32
20221029 040249	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	40	1	1	1	0.1	50	0.5	FALSE	309367	0.192789962443239	0.354913421440078	0.796513160994708	8.4942693405645	0.0202149508278632	16478	15044000	33
20221029 040322	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	29	1	1	1	0.1	50	0.5	FALSE	309367	0.148447543809409	0.693201937552495	0.410512114021589	9.37148941941722	0.0213081742596259	15919	13842000	34
20221029 040404	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	20	1	1	1	0.1	50	0.5	FALSE	309367	0.124075547660845	0.72068673354676	0.977958676495973	8.58673800587794	0.0427381333463879	16711	14098000	35
