fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221018 003100	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	849	1	1	1	0.1	50	0.5	FALSE	309367	0.0945071959330333	0.266803185737555	2938	216	0.00040494747904316	14361	17518000	24
20221018 004349	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1034	1	1	1	0.1	50	0.5	FALSE	309367	0.0188110064618629	0.304893076181942	6	1263	3.76536328786603e-06	12656	19728000	25
20221018 005411	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1121	1	1	1	0.1	50	0.5	FALSE	309367	0.0208260413592771	0.29234457821162	2835	197	0.0101563411020021	14656	18368000	26
20221018 010522	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1127	1	1	1	0.1	50	0.5	FALSE	309367	0.0384529728676353	0.245082884729152	440	1673	3.94652202141615e-06	12592	18736000	27
20221018 012344	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2018	1	1	1	0.1	50	0.5	FALSE	309367	0.00608200527084009	0.256682588446955	1784	1054	0.0132999781042992	15200	18640000	28
20221018 012939	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	705	1	1	1	0.1	50	0.5	FALSE	309367	0.0531263658967889	0.251626248556584	3632	1403	0.00662388514484603	14949	17542000	29
20221018 013323	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	439	1	1	1	0.1	50	0.5	FALSE	309367	0.0619633218082377	0.255257053076759	336	60	0.0130200247258744	14227	18026000	30
20221018 014226	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1054	1	1	1	0.1	50	0.5	FALSE	309367	0.0685047907657799	0.311531193109968	2002	836	5.84367515370613e-05	17265	15550000	31
20221018 014941	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	505	1	1	1	0.1	50	0.5	FALSE	309367	0.0358358893635918	0.283694674764788	104	1165	2.17294171754486e-05	13568	18624000	32
20221018 021923	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1735	1	1	1	0.1	50	0.5	FALSE	309367	0.0206528540231978	0.30238353904993	15	756	1.78258108671084e-06	11611	20858000	33
