fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	baggin_freq	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	coverage	leaf_size_log	bagging_fraction	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221121 160711	1223	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2112	1	1	1	0.1	50	0.5	FALSE	309367	0.0241809439573485	0.782754433761662	0.786812059553742	6.64798707488172	0.485039990190296	0.0185979669381924	16539	47002000	21
20221121 162100	1223	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	540	1	1	1	0.1	50	0.5	FALSE	309367	0.101852328048716	0.756621589098842	0.990112613342083	4.82273672012576	0.947422644435084	0.0238715433536686	16467	47226000	22
20221121 175840	1223	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5385	1	1	1	0.1	50	0.5	FALSE	309367	0.00536622393998333	0.890156699655741	0.180972401562934	7.84467054888475	0.200209197779352	0.0208352586093498	17049	47022000	23
20221121 220046	1223	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5545	1	1	1	0.1	50	0.5	FALSE	309367	0.00523695417419909	0.548979821292596	0.35134804631377	7.16261392249414	0.353877703551382	0.0232507710842991	15939	48202000	24
20221122 022959	1223	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6523	1	1	1	0.1	50	0.5	FALSE	309367	0.00500950461218044	0.586037586027928	0.493549505685594	7.34688974925049	0.826510807106492	0.0197910505038788	16828	47384000	25
20221122 052319	1223	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5295	1	1	1	0.1	50	0.5	FALSE	309367	0.00513253890073394	0.334690347090164	0.166217881214817	7.15524510379223	0.245747423605577	0.0236851118710604	15735	47730000	26
20221122 055919	1223	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	889	1	1	1	0.1	50	0.5	FALSE	309367	0.0302125055313154	0.301893628968582	0.642589068704992	7.34242997558984	0.282565255361071	0.0202796963399084	16333	47334000	27
20221122 084827	1223	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3248	1	1	1	0.1	50	0.5	FALSE	309367	0.00502535865582505	0.337186314243691	0.954980386509553	10.4338869465902	0.798358730702096	0.00472242505439497	17228	46264000	28
20221122 091101	1223	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	558	1	1	1	0.1	50	0.5	FALSE	309367	0.0728877913227779	0.308563514418844	0.99887071376186	4.57757731381282	0.597283951740083	0.0184749074240873	19259	43642000	29
20221122 094035	1223	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1358	1	1	1	0.1	50	0.5	FALSE	309367	0.0307648224241319	0.670349174160045	0.394235111895749	7.1255039608239	0.201963303344076	0.0200340670104618	16956	47368000	30
20221122 095058	1223	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	435	1	1	1	0.1	50	0.5	FALSE	309367	0.161286779752516	0.899444313210545	0.959045947081	4.08832552575393	0.946267571336543	0.0254585975648653	16081	47518000	31
20221122 145314	1223	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	7969	1	1	1	0.1	50	0.5	FALSE	309367	0.00501100422292172	0.460205951376785	0.289624933192868	7.50722882823749	0.448259011965627	0.0211209307928565	16536	47488000	32
20221122 160433	1223	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6026	1	1	1	0.1	50	0.5	FALSE	309367	0.0050374281231454	0.721952958288021	0.0521979267654243	6.77674323450538	0.350704414799679	0.017834874996268	18884	43352000	33
20221122 161816	1223	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	521	1	1	1	0.1	50	0.5	FALSE	309367	0.135134513435798	0.896790197141742	0.848203816599206	5.1064983164677	0.94793554096114	0.0196151813038443	17454	46292000	34
20221122 192226	1223	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3805	1	1	1	0.1	50	0.5	FALSE	309367	0.00502466605329408	0.542716195472276	0.590438540621796	6.64983991790498	0.502000692922053	0.0212637402532046	17101	47078000	35
20221123 010131	1223	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6928	1	1	1	0.1	50	0.5	FALSE	309367	0.00502505025905705	0.54409567309802	0.727431665222911	8.45942648684126	0.66312088888638	0.00890609346997803	16740	46840000	36
